msa,firms,fsize,fage4,job_creation_births,job_creation_continuers,job_destruction,year2
40140,4187,m,a,26419,0,0,1977
40140,15598,m,l,10983,38974,45069,1977
40220,601,m,a,4159,0,0,1977
40220,3704,m,l,3265,7402,10581,1977
40340,301,m,a,1855,0,0,1977
40340,1754,m,l,637,10069,4265,1977
40380,1709,m,a,10200,0,0,1977
40380,11537,m,l,6158,34685,36216,1977
40420,624,m,a,4306,0,0,1977
40420,4160,m,l,2206,11476,11948,1977
40580,302,m,a,1773,0,0,1977
40580,1711,m,l,1527,3896,7082,1977
40660,200,m,a,964,0,0,1977
40660,1133,m,l,344,1931,3536,1977
40900,3466,m,a,21536,0,0,1977
40900,12930,m,l,9125,29158,37286,1977
40980,416,m,a,2532,0,0,1977
40980,2799,m,l,6357,6562,12317,1977
41060,296,m,a,1854,0,0,1977
41060,1913,m,l,572,3996,4412,1977
41100,113,m,a,416,0,0,1977
41100,341,m,l,287,464,710,1977
41140,288,m,a,1434,0,0,1977
41140,1809,m,l,892,2932,5197,1977
41180,5357,m,a,38206,0,0,1977
41180,33180,m,l,20754,114574,119342,1977
41420,839,m,a,4911,0,0,1977
41420,3332,m,l,1363,7817,7697,1977
41500,863,m,a,5564,0,0,1977
41500,3951,m,l,1225,10167,9878,1977
41540,262,m,a,1414,0,0,1977
41540,1456,m,l,538,3011,3546,1977
41620,2160,m,a,13434,0,0,1977
41620,9142,m,l,8626,27998,36092,1977
41660,262,m,a,1335,0,0,1977
41660,1469,m,l,897,2360,3515,1977
41700,2732,m,a,20130,0,0,1977
41700,13152,m,l,10736,31092,44006,1977
41740,5768,m,a,35944,0,0,1977
41740,19883,m,l,15678,54512,68422,1977
41780,172,m,a,955,0,0,1977
41780,1209,m,l,886,2363,3275,1977
41860,10356,m,a,66447,0,0,1977
41860,48659,m,l,39486,174884,179427,1977
41940,4199,m,a,28026,0,0,1977
41940,15988,m,l,17113,58719,57875,1977
42020,619,m,a,2949,0,0,1977
42020,2214,m,l,852,3891,4622,1977
42060,1088,m,a,6967,0,0,1977
42060,4741,m,l,4675,11133,28297,1977
42100,721,m,a,4004,0,0,1977
42100,2537,m,l,925,5174,6134,1977
42140,316,m,a,1708,0,0,1977
42140,1321,m,l,800,2231,2806,1977
42220,1161,m,a,4970,0,0,1977
42220,4321,m,l,2180,7946,8458,1977
42340,631,m,a,4312,0,0,1977
42340,3304,m,l,886,7828,16917,1977
42540,1079,m,a,8152,0,0,1977
42540,8253,m,l,3010,25568,25762,1977
42660,6605,m,a,39675,0,0,1977
42660,28206,m,l,23310,79655,85639,1977
42680,213,m,a,1149,0,0,1977
42680,932,m,l,342,1864,2330,1977
43100,176,m,a,815,0,0,1977
43100,1510,m,l,441,3406,2912,1977
43300,268,m,a,1300,0,0,1977
43300,1401,m,l,786,2516,3243,1977
43340,901,m,a,6360,0,0,1977
43340,4979,m,l,2787,11904,16837,1977
43580,402,m,a,3123,0,0,1977
43580,2491,m,l,619,17343,9060,1977
43620,470,m,a,2673,0,0,1977
43620,2593,m,l,1074,28986,6020,1977
43780,622,m,a,4800,0,0,1977
43780,4055,m,l,4016,9224,12965,1977
43900,445,m,a,1905,0,0,1977
43900,2693,m,l,1258,5400,7687,1977
44060,1044,m,a,5448,0,0,1977
44060,4952,m,l,1999,10662,12365,1977
44100,497,m,a,3900,0,0,1977
44100,3091,m,l,1843,8004,9842,1977
44140,1201,m,a,8856,0,0,1977
44140,8961,m,l,4444,24002,22832,1977
44180,786,m,a,4449,0,0,1977
44180,3846,m,l,1624,8862,9727,1977
44220,281,m,a,2328,0,0,1977
44220,1824,m,l,559,3450,6596,1977
44300,213,m,a,1148,0,0,1977
44300,1382,m,l,448,2518,2987,1977
44600,295,m,a,1616,0,0,1977
44600,2027,m,l,799,2973,5465,1977
44700,927,m,a,4897,0,0,1977
44700,4690,m,l,1841,9429,11029,1977
44940,189,m,a,746,0,0,1977
44940,1008,m,l,674,4071,1805,1977
45060,1231,m,a,6456,0,0,1977
45060,8476,m,l,5430,26607,28463,1977
45220,568,m,a,3088,0,0,1977
45220,2671,m,l,1146,3604,8089,1977
45300,4605,m,a,28937,0,0,1977
45300,18447,m,l,17934,44319,69458,1977
45460,361,m,a,2583,0,0,1977
45460,2367,m,l,1589,7461,6126,1977
45500,278,m,a,1983,0,0,1977
45500,1600,m,l,972,5254,4691,1977
45780,1234,m,a,8841,0,0,1977
45780,8946,m,l,5517,48915,26555,1977
45820,506,m,a,3119,0,0,1977
45820,3167,m,l,1613,5555,7983,1977
45940,688,m,a,4430,0,0,1977
45940,4655,m,l,3837,10855,13654,1977
46060,1385,m,a,9795,0,0,1977
46060,5938,m,l,3065,12436,21104,1977
46140,2239,m,a,14282,0,0,1977
46140,10638,m,l,9094,28262,33828,1977
46220,306,m,a,2457,0,0,1977
46220,1922,m,l,4071,3330,5822,1977
46340,441,m,a,2336,0,0,1977
