city,state,year,firms,job_births,job_continuers,job_destruction,lat,lon
Mankato,MN,1982,1622,2207,2024,3730,44.1635775,-93.9993996
McAllen,TX,1982,4119,8743,9268,10289,26.2034071,-98.2300124
Memphis,TN,1982,14624,27136,26456,57120,35.1495343,-90.0489801
Midland,TX,1982,3087,7671,11948,9335,31.9973456,-102.0779146
Milwaukee,WI,1982,23579,37231,45372,87310,43.0389025,-87.9064736
Missoula,MT,1982,1829,3293,1344,4421,46.872146,-113.9939982
Modesto,CA,1982,4700,8879,6548,12868,37.6390972,-120.9968782
Montgomery,AL,1982,4439,6674,12541,15172,32.3668052,-86.2999689
Myrtle Beach,SC,1982,2564,3845,4720,5056,33.6890603,-78.8866943
Naples,FL,1982,2782,4000,3740,6213,26.1420358,-81.7948103
Nashville,TN,1982,15170,26706,30505,57186,36.1658899,-86.7844432
New Haven,CT,1982,14229,18414,18474,39481,41.3081527,-72.9281577
New Orleans,LA,1982,20677,40252,58903,86295,29.9647222,-90.0705556
New York,NY,1982,319770,443764,628261,924388,40.7142691,-74.0059729
Oklahoma City,OK,1982,18466,34880,50392,58005,35.4675602,-97.5164276
Omaha,NE,1982,11259,16183,19438,39254,41.254006,-95.999258
Panama City,FL,1982,2044,2090,3300,4513,30.1588129,-85.6602058
Parkersburg,WV,1982,2776,3871,3982,6960,39.2667418,-81.5615135
Pensacola,FL,1982,4412,6406,8998,10321,30.421309,-87.2169149
Philadelphia,PA,1982,80036,123622,175961,286337,39.952335,-75.163789
Phoenix,AZ,1982,27994,62352,60633,112526,33.4483771,-112.0740373
Pine Bluff,AR,1982,1537,1410,2122,3537,34.2284312,-92.0031955
Pittsburgh,PA,1982,37196,60750,97826,163954,40.4406248,-79.9958864
Pocatello,ID,1982,1310,1747,1433,3610,42.8713032,-112.4455344
Portland,OR,1982,25443,39280,35393,95808,45.5234515,-122.6762071
Pueblo,CO,1982,2080,2055,2937,10808,38.2544472,-104.6091409
Rapid City,SD,1982,1986,1968,2181,3834,44.0805434,-103.2310149
Redding,CA,1982,2651,2315,2435,15984,40.5865396,-122.3916754
Reno,NV,1982,5143,10614,9600,21112,39.5296329,-119.8138027
Rochester,NY,1982,13462,20032,28698,43215,43.1547845,-77.6155567
Rockford,IL,1982,4883,6810,9991,16206,42.2711311,-89.0939952
St. Joseph,MO,1982,2021,2082,2715,4551,39.7577778,-94.8363889
St. Louis,MO,1982,39316,98711,92403,133612,38.646991,-90.224967
Salinas,CA,1982,5225,6739,7180,11799,36.6777372,-121.6555013
Salisbury,MD,1982,1647,1713,2220,3796,38.3606736,-75.5993692
Salt Lake City,UT,1982,12420,21168,24518,43131,40.7607793,-111.8910474
San Angelo,TX,1982,1958,3065,5007,4588,31.4637723,-100.4370375
San Antonio,TX,1982,18155,36810,44167,58717,29.4241219,-98.4936282
San Diego,CA,1982,31267,52213,56638,106864,32.7153292,-117.1572551
San Jose,CA,1982,24240,69553,65655,106800,37.3393857,-121.8949555
San Luis Obispo,CA,1982,3340,9045,3881,6589,35.2827524,-120.6596156
Santa Fe,NM,1982,1976,1916,2410,3204,35.6869752,-105.937799
Savannah,GA,1982,4083,5649,8281,11264,32.0835407,-81.0998342
Scranton,PA,1982,8705,9961,13411,22924,41.408969,-75.6624122
Shreveport,LA,1982,6487,12201,12088,21198,32.5251516,-93.7501789
Sioux City,IA,1982,2683,2709,3102,10149,42.4999942,-96.4003069
Sioux Falls,SD,1982,3133,3405,4700,8269,43.5499749,-96.700327
Spokane,WA,1982,6219,9221,8792,19878,47.6587802,-117.4260466
Springfield,IL,1982,3393,3676,4399,10070,39.8403147,-88.9548001
Springfield,MO,1982,4685,6787,7492,12557,37.215326,-93.2982436
Syracuse,NY,1982,9624,11311,27720,27158,43.0481221,-76.1474244
Terre Haute,IN,1982,2660,3074,2862,8175,39.4667034,-87.4139092
Toledo,OH,1982,10083,11362,16926,33040,41.6639383,-83.555212
Topeka,KS,1982,3779,5200,15033,8626,39.0483336,-95.6780371
Tucson,AZ,1982,8908,21782,16382,30010,32.2217429,-110.926479
Tulsa,OK,1982,14659,27929,34663,50106,36.1539816,-95.992775
Utica,NY,1982,4422,6347,6335,10268,43.100903,-75.232664
Victoria,TX,1982,2083,3760,4224,4723,28.8052674,-97.0035982
Visalia,CA,1982,3918,6492,4959,9728,36.3302284,-119.2920585
Wilmington,NC,1982,2960,4475,3969,8867,34.2257255,-77.9447102
York,PA,1982,4847,5978,8334,16864,39.9625984,-76.727745
Youngstown,OH,1982,9247,11280,13248,36679,41.0997803,-80.6495194
Akron,OH,1987,11092,16109,25495,37942,41.0814447,-81.5190053
Albany,GA,1987,2539,3398,4252,6382,31.5785074,-84.155741
Alexandria,LA,1987,2470,2696,3482,6352,31.3112936,-92.4451371
Altoona,PA,1987,2408,3310,4439,5888,40.5186809,-78.3947359
Amarillo,TX,1987,4230,4919,6424,16051,35.2219971,-101.8312969
Ames,IA,1987,1276,1131,1503,2720,42.02335,-93.625622
Anchorage,AK,1987,5320,6789,9075,26374,61.2180556,-149.9002778
Anderson,SC,1987,2411,2366,3802,4361,34.5034394,-82.6501332
Appleton,WI,1987,3223,5196,5081,7769,44.2619309,-88.4153847
Atlanta,GA,1987,53520,126083,149381,240469,33.7489954,-84.3879824
Augusta,GA,1987,6402,9355,13603,16013,33.47,-81.975
Austin,TX,1987,15577,26880,24681,68116,30.267153,-97.7430608
Bakersfield,CA,1987,7984,12365,12729,29977,35.3732921,-119.0187125
Baltimore,MD,1987,38541,94533,94894,139576,39.2903848,-76.6121893
Bangor,ME,1987,2811,3551,4893,6489,44.8011821,-68.7778138
Baton Rouge,LA,1987,10109,14600,19622,37712,30.4507462,-91.154551
Battle Creek,MI,1987,2253,2745,5844,6083,42.3211522,-85.1797142
Bay City,MI,1987,1842,1687,2696,3713,43.5944677,-83.8888647
Bend,OR,1987,2065,1700,2911,4239,44.0581728,-121.3153096
Billings,MT,1987,3338,3875,4792,8474,45.7832856,-108.5006904
Binghamton,NY,1987,4128,3751,6560,12746,42.0986867,-75.9179738
Birmingham,AL,1987,15971,24895,38650,61216,33.5206608,-86.80249
