msa,fipstate,fipscty,name_county,micro-metro,state1,city,city2,city3,city4,city5,city6,city7
16620,54,39,"Kanawha County, West Virginia",Metropolitan,WV,Charleston,,,,,,
16620,54,43,"Lincoln County, West Virginia",Metropolitan,WV,Charleston,,,,,,
16620,54,79,"Putnam County, West Virginia",Metropolitan,WV,Charleston,,,,,,
16660,17,29,"Coles County, Illinois",Micropolitan,IL,Charleston,Mattoon,,,,,
16660,17,35,"Cumberland County, Illinois",Micropolitan,IL,Charleston,Mattoon,,,,,
16700,45,15,"Berkeley County, South Carolina",Metropolitan,SC,Charleston,North Charleston,,,,,
16700,45,19,"Charleston County, South Carolina",Metropolitan,SC,Charleston,North Charleston,,,,,
16700,45,35,"Dorchester County, South Carolina",Metropolitan,SC,Charleston,North Charleston,,,,,
16740,37,7,"Anson County, North Carolina",Metropolitan,NC,Charlotte,Gastonia,Concord,,,,
16740,37,25,"Cabarrus County, North Carolina",Metropolitan,NC,Charlotte,Gastonia,Concord,,,,
16740,37,71,"Gaston County, North Carolina",Metropolitan,NC,Charlotte,Gastonia,Concord,,,,
16740,37,119,"Mecklenburg County, North Carolina",Metropolitan,NC,Charlotte,Gastonia,Concord,,,,
16740,37,179,"Union County, North Carolina",Metropolitan,NC,Charlotte,Gastonia,Concord,,,,
16740,45,91,"York County, South Carolina",Metropolitan,NC,Charlotte,Gastonia,Concord,,,,
16820,51,3,"Albemarle County, Virginia",Metropolitan,VA,Charlottesville,,,,,,
16820,51,65,"Fluvanna County, Virginia",Metropolitan,VA,Charlottesville,,,,,,
16820,51,79,"Greene County, Virginia",Metropolitan,VA,Charlottesville,,,,,,
16820,51,125,"Nelson County, Virginia",Metropolitan,VA,Charlottesville,,,,,,
16820,51,540,"Charlottesville city, Virginia",Metropolitan,VA,Charlottesville,,,,,,
16860,13,47,"Catoosa County, Georgia",Metropolitan,TN,Chattanooga,,,,,,
16860,13,83,"Dade County, Georgia",Metropolitan,TN,Chattanooga,,,,,,
16860,13,295,"Walker County, Georgia",Metropolitan,TN,Chattanooga,,,,,,
16860,47,65,"Hamilton County, Tennessee",Metropolitan,TN,Chattanooga,,,,,,
16860,47,115,"Marion County, Tennessee",Metropolitan,TN,Chattanooga,,,,,,
